"pedido_detalle_id","cantidad","estado_detalle","notas","subtotal","pedido_id","producto_id","tenant_id"
"173",1,"ENTREGADO","Cocinar bien la carne.","8.00","43","22","1"
"174",2,"ENTREGADO","No añadir mayonesa.","44.00","44","3","1"
"175",2,"ENTREGADO","Dividir el plato.","76.00","44","20","1"
"176",2,"ENTREGADO","Evitar ingredientes crudos.","36.00","44","25","1"
"177",3,"ENTREGADO","Cocinar bien la carne.","99.00","44","17","1"
"178",1,"ENTREGADO","Sin cebolla, por favor.","21.00","45","4","1"
"179",2,"ENTREGADO","Agregar cubiertos adicionales.","34.00","45","26","1"
"180",2,"ENTREGADO","Preparar como la vez pasada.","44.00","45","9","1"
"181",2,"ENTREGADO","","60.00","45","15","1"
"182",4,"ENTREGADO","No incluir pan.","88.00","46","3","1"
"183",3,"ENTREGADO","Agregar salsa extra.","63.00","46","4","1"
"184",1,"ENTREGADO","No añadir mayonesa.","40.00","46","14","1"
"185",1,"ENTREGADO","Agregar salsa extra.","22.00","46","3","1"
"186",2,"ENTREGADO","No incluir pan.","44.00","46","9","1"
"187",1,"ENTREGADO","Agregar cubiertos adicionales.","22.00","46","3","1"
"188",3,"ENTREGADO","Agregar cubiertos adicionales.","90.00","47","15","1"
"189",2,"ENTREGADO","Sin aderezo.","52.00","47","11","1"
"190",1,"ENTREGADO","Servir en dos platos.","35.00","47","10","1"
"191",3,"ENTREGADO","Servir bien caliente.","66.00","47","3","1"
"192",1,"ENTREGADO","Cocinar bien la carne.","35.00","48","10","1"
"193",2,"ENTREGADO","Cocinar bien la carne.","52.00","48","11","1"
"194",3,"ENTREGADO","Sin cebolla, por favor.","27.00","49","29","1"
"195",1,"ENTREGADO","Poco picante.","28.00","49","1","1"
"196",2,"ENTREGADO","Servir en dos platos.","52.00","49","11","1"
"197",2,"ENTREGADO","Dividir el plato.","76.00","49","20","1"
"198",1,"ENTREGADO","Cocinar bien la carne.","22.00","49","3","1"
"199",3,"ENTREGADO","Con limón aparte.","18.00","49","24","1"
"200",2,"ENTREGADO","No añadir mayonesa.","60.00","50","15","1"
"201",2,"ENTREGADO","Agregar cubiertos adicionales.","62.00","50","16","1"
"202",3,"ENTREGADO","Poco picante.","60.00","50","5","1"
"203",2,"ENTREGADO","Con limón aparte.","42.00","50","4","1"
"204",1,"ENTREGADO","No añadir mayonesa.","28.00","50","1","1"
"205",1,"ENTREGADO","Plato para compartir.","22.00","51","3","1"
"206",2,"ENTREGADO","Agregar salsa extra.","72.00","51","12","1"
"207",1,"ENTREGADO","Sin cebolla, por favor.","40.00","51","14","1"
"208",1,"ENTREGADO","","30.00","51","15","1"
"209",1,"ENTREGADO","Poco picante.","34.00","51","13","1"
"210",2,"ENTREGADO","Servir bien caliente.","44.00","52","3","1"
"211",1,"ENTREGADO","","32.00","52","7","1"
"212",2,"ENTREGADO","Agregar cubiertos adicionales.","44.00","53","9","1"
"213",2,"ENTREGADO","Dividir el plato.","64.00","53","7","1"
"214",4,"ENTREGADO","Agregar cubiertos adicionales.","80.00","54","5","1"
"215",1,"ENTREGADO","Dividir el plato.","18.00","54","21","1"
"216",1,"ENTREGADO","Plato para compartir.","28.00","55","1","1"
"217",2,"ENTREGADO","Entrega rápida.","50.00","55","2","1"
"218",2,"ENTREGADO","No incluir pan.","50.00","55","2","1"
"219",1,"ENTREGADO","Agregar cubiertos adicionales.","29.00","55","18","1"
"220",4,"ENTREGADO","Agregar salsa extra.","88.00","56","9","1"
"221",1,"ENTREGADO","Dividir el plato.","25.00","56","2","1"
"222",3,"ENTREGADO","Preparar como la vez pasada.","75.00","56","2","1"
"223",2,"ENTREGADO","Servir bien caliente.","44.00","57","3","1"
"224",1,"ENTREGADO","Plato para compartir.","18.00","57","21","1"
"225",1,"ENTREGADO","Preparar como la vez pasada.","25.00","57","2","1"
"226",1,"ENTREGADO","Servir bien caliente.","25.00","58","2","1"
"227",2,"ENTREGADO","Poco picante.","40.00","58","27","1"
"228",3,"ENTREGADO","Sin cebolla, por favor.","75.00","59","2","1"
"229",1,"ENTREGADO","","25.00","59","2","1"
"230",1,"ENTREGADO","Entrega rápida.","31.00","59","16","1"
"231",2,"ENTREGADO","Evitar ingredientes crudos.","50.00","60","2","1"
"232",2,"ENTREGADO","Servir en dos platos.","48.00","60","6","1"
"233",2,"ENTREGADO","Servir bien caliente.","56.00","60","1","1"
"234",1,"ENTREGADO","Servir en dos platos.","20.00","60","5","1"
"235",2,"ENTREGADO","Preparar como la vez pasada.","44.00","60","9","1"
"236",2,"ENTREGADO","No incluir pan.","50.00","61","2","1"
"237",1,"ENTREGADO","Usar queso sin lactosa.","21.00","61","4","1"
"238",1,"ENTREGADO","Poco picante.","20.00","61","27","1"
"239",2,"ENTREGADO","Usar queso sin lactosa.","52.00","61","11","1"
"240",1,"ENTREGADO","No incluir pan.","32.00","61","7","1"
"241",3,"ENTREGADO","Poco picante.","102.00","61","13","1"
"242",4,"ENTREGADO","Servir en dos platos.","80.00","62","5","1"
"243",1,"ENTREGADO","No incluir pan.","31.00","62","16","1"
"244",2,"ENTREGADO","Usar queso sin lactosa.","76.00","62","20","1"
"245",3,"ENTREGADO","No incluir pan.","84.00","62","1","1"
"246",1,"ENTREGADO","Sin aderezo.","36.00","62","12","1"
"247",1,"ENTREGADO","Sin aderezo.","22.00","63","3","1"
"248",4,"ENTREGADO","Servir bien caliente.","152.00","63","20","1"
"249",1,"ENTREGADO","Agregar salsa extra.","20.00","63","5","1"
"250",3,"ENTREGADO","","60.00","63","5","1"
"251",4,"ENTREGADO","Sin cebolla, por favor.","140.00","63","10","1"
"252",2,"ENTREGADO","Evitar ingredientes crudos.","70.00","63","19","1"
"253",1,"ENTREGADO","Usar queso sin lactosa.","28.00","64","1","1"
"254",1,"ENTREGADO","No añadir mayonesa.","20.00","64","5","1"
"255",1,"ENTREGADO","Sin aderezo.","32.00","64","7","1"
"256",1,"ENTREGADO","Entrega rápida.","33.00","64","17","1"
"257",1,"ENTREGADO","Con limón aparte.","35.00","64","10","1"
"258",4,"ENTREGADO","Servir en dos platos.","88.00","64","9","1"
"259",1,"ENTREGADO","Evitar ingredientes crudos.","22.00","65","3","1"
"260",2,"ENTREGADO","Entrega rápida.","66.00","65","17","1"
"261",2,"ENTREGADO","Evitar ingredientes crudos.","56.00","66","1","1"
"262",2,"ENTREGADO","Usar queso sin lactosa.","70.00","66","10","1"
"263",3,"ENTREGADO","Cocinar bien la carne.","93.00","66","16","1"
"264",1,"ENTREGADO","","40.00","66","14","1"
"265",2,"ENTREGADO","Usar queso sin lactosa.","60.00","66","15","1"
"266",2,"ENTREGADO","Sin aderezo.","50.00","67","2","1"
"267",2,"ENTREGADO","Cocinar bien la carne.","34.00","67","26","1"
"268",3,"ENTREGADO","Agregar salsa extra.","60.00","67","5","1"
"269",4,"ENTREGADO","Servir bien caliente.","32.00","67","22","1"
"270",3,"ENTREGADO","Entrega rápida.","99.00","67","17","1"
"271",1,"ENTREGADO","Cocinar bien la carne.","40.00","67","14","1"
"272",2,"ENTREGADO","Entrega rápida.","64.00","68","7","1"
"273",1,"ENTREGADO","Servir bien caliente.","35.00","68","10","1"
"274",2,"ENTREGADO","Sin aderezo.","44.00","68","9","1"
"275",2,"ENTREGADO","Evitar ingredientes crudos.","50.00","68","2","1"
"276",1,"ENTREGADO","Con limón aparte.","23.00","69","8","1"
"277",1,"ENTREGADO","Sin cebolla, por favor.","35.00","69","10","1"
"278",2,"ENTREGADO","Con limón aparte.","42.00","69","4","1"
"279",4,"ENTREGADO","","84.00","70","4","1"
"280",1,"ENTREGADO","Con limón aparte.","22.00","70","3","1"
"281",1,"ENTREGADO","Evitar ingredientes crudos.","20.00","71","5","1"
"282",4,"ENTREGADO","Con limón aparte.","84.00","71","4","1"
"283",2,"ENTREGADO","Servir bien caliente.","42.00","71","4","1"
"284",1,"ENTREGADO","Preparar como la vez pasada.","21.00","71","4","1"
"285",1,"ENTREGADO","Plato para compartir.","34.00","71","13","1"
"286",2,"ENTREGADO","Usar queso sin lactosa.","50.00","72","2","1"
"287",2,"ENTREGADO","No incluir pan.","66.00","72","17","1"
"288",1,"ENTREGADO","Poco picante.","21.00","73","4","1"
"289",1,"ENTREGADO","Poco picante.","25.00","73","2","1"
"290",1,"ENTREGADO","Usar queso sin lactosa.","22.00","73","9","1"
"291",2,"ENTREGADO","Agregar cubiertos adicionales.","56.00","73","1","1"
"292",3,"ENTREGADO","Servir bien caliente.","75.00","73","2","1"
"293",2,"ENTREGADO","","44.00","74","3","1"
"294",1,"ENTREGADO","Preparar como la vez pasada.","7.00","74","23","1"
"295",1,"ENTREGADO","Servir en dos platos.","25.00","74","2","1"
"296",1,"ENTREGADO","Poco picante.","32.00","75","7","1"
"297",1,"ENTREGADO","Agregar cubiertos adicionales.","22.00","75","3","1"
"298",3,"ENTREGADO","Entrega rápida.","105.00","75","19","1"
"299",1,"ENTREGADO","Cocinar bien la carne.","35.00","75","10","1"
"300",1,"ENTREGADO","Plato para compartir.","22.00","75","3","1"
"301",2,"ENTREGADO","No añadir mayonesa.","42.00","76","4","1"
"302",1,"ENTREGADO","Servir en dos platos.","24.00","76","6","1"
"303",2,"ENTREGADO","Con limón aparte.","46.00","77","8","1"
"304",2,"ENTREGADO","Servir bien caliente.","40.00","77","5","1"
"305",1,"ENTREGADO","Sin aderezo.","34.00","77","13","1"
"306",1,"ENTREGADO","Usar queso sin lactosa.","25.00","77","2","1"
"307",1,"ENTREGADO","","21.00","78","4","1"
"308",3,"ENTREGADO","No incluir pan.","108.00","78","12","1"
"309",1,"ENTREGADO","Entrega rápida.","22.00","78","3","1"
"310",1,"ENTREGADO","Entrega rápida.","36.00","79","12","1"
"311",1,"ENTREGADO","Servir en dos platos.","40.00","79","14","1"
"312",2,"ENTREGADO","Dividir el plato.","50.00","79","2","1"
"313",2,"ENTREGADO","Servir bien caliente.","50.00","79","2","1"
"314",1,"ENTREGADO","Sin aderezo.","24.00","80","6","1"
"315",1,"ENTREGADO","Sin aderezo.","38.00","80","20","1"
"316",1,"ENTREGADO","Sin cebolla, por favor.","22.00","81","9","1"
"317",2,"ENTREGADO","Usar queso sin lactosa.","42.00","81","4","1"
"318",3,"ENTREGADO","Preparar como la vez pasada.","87.00","81","18","1"
"319",1,"ENTREGADO","No incluir pan.","21.00","81","4","1"
"320",2,"ENTREGADO","Agregar salsa extra.","42.00","82","4","1"
"321",3,"ENTREGADO","Agregar cubiertos adicionales.","66.00","82","9","1"
"322",1,"ENTREGADO","Plato para compartir.","22.00","82","3","1"
"323",1,"ENTREGADO","Evitar ingredientes crudos.","21.00","83","4","1"
"324",1,"ENTREGADO","Plato para compartir.","32.00","83","7","1"
"325",1,"ENTREGADO","","23.00","83","8","1"
"326",1,"ENTREGADO","Evitar ingredientes crudos.","25.00","83","2","1"
"327",2,"ENTREGADO","Entrega rápida.","64.00","84","7","1"
"328",2,"ENTREGADO","Sin cebolla, por favor.","40.00","84","5","1"
"329",1,"ENTREGADO","No añadir mayonesa.","40.00","84","14","1"
"330",1,"ENTREGADO","Agregar cubiertos adicionales.","22.00","84","3","1"
"331",1,"ENTREGADO","Poco picante.","22.00","84","9","1"
"332",3,"ENTREGADO","Plato para compartir.","99.00","84","17","1"
"333",4,"ENTREGADO","","84.00","85","4","1"
"334",1,"ENTREGADO","Poco picante.","29.00","85","18","1"
"335",1,"ENTREGADO","Preparar como la vez pasada.","22.00","86","3","1"
"336",4,"ENTREGADO","Dividir el plato.","120.00","86","15","1"
"337",1,"ENTREGADO","Sin cebolla, por favor.","8.00","86","22","1"
"338",2,"ENTREGADO","Usar queso sin lactosa.","36.00","87","25","1"
"339",1,"ENTREGADO","","28.00","87","1","1"
"340",2,"ENTREGADO","Servir bien caliente.","36.00","87","21","1"
"341",2,"ENTREGADO","Agregar cubiertos adicionales.","50.00","87","2","1"
"342",2,"ENTREGADO","","50.00","87","2","1"
"343",1,"ENTREGADO","No añadir mayonesa.","24.00","87","6","1"
"344",1,"ENTREGADO","Con limón aparte.","21.00","88","4","1"
"345",3,"ENTREGADO","Plato para compartir.","75.00","88","2","1"
"346",1,"ENTREGADO","Agregar cubiertos adicionales.","35.00","88","10","1"
"347",1,"ENTREGADO","No añadir mayonesa.","35.00","89","19","1"
"348",1,"ENTREGADO","Plato para compartir.","20.00","89","5","1"
"349",1,"ENTREGADO","Agregar salsa extra.","33.00","89","17","1"
"350",3,"ENTREGADO","Usar queso sin lactosa.","69.00","89","8","1"
"351",2,"ENTREGADO","Poco picante.","70.00","89","10","1"
"352",1,"ENTREGADO","Con limón aparte.","35.00","89","10","1"
"353",1,"ENTREGADO","Dividir el plato.","20.00","90","5","1"
"354",4,"ENTREGADO","Sin aderezo.","92.00","90","8","1"
"355",1,"ENTREGADO","Con limón aparte.","40.00","90","14","1"
"356",1,"ENTREGADO","Preparar como la vez pasada.","28.00","90","1","1"
"357",2,"ENTREGADO","Poco picante.","70.00","90","10","1"
"358",3,"ENTREGADO","Con limón aparte.","63.00","90","4","1"
"359",4,"ENTREGADO","Agregar salsa extra.","88.00","91","3","1"
"360",1,"ENTREGADO","Servir en dos platos.","21.00","91","4","1"
"361",2,"ENTREGADO","Sin aderezo.","50.00","91","2","1"
"362",1,"ENTREGADO","Plato para compartir.","21.00","92","4","1"
"363",1,"ENTREGADO","Cocinar bien la carne.","8.00","92","22","1"
"364",2,"ENTREGADO","Evitar ingredientes crudos.","64.00","92","7","1"
"365",2,"ENTREGADO","Preparar como la vez pasada.","12.00","92","24","1"
"366",2,"ENTREGADO","Sin cebolla, por favor.","56.00","92","1","1"
"367",2,"ENTREGADO","Agregar cubiertos adicionales.","72.00","93","12","1"
"368",2,"ENTREGADO","Usar queso sin lactosa.","42.00","93","4","1"
"369",2,"ENTREGADO","Sin aderezo.","44.00","93","3","1"
"370",2,"ENTREGADO","Agregar salsa extra.","42.00","94","4","1"
"371",1,"ENTREGADO","Plato para compartir.","18.00","94","21","1"
"372",2,"ENTREGADO","Poco picante.","48.00","95","6","1"
"373",1,"ENTREGADO","Usar queso sin lactosa.","25.00","95","2","1"
"374",4,"ENTREGADO","Agregar salsa extra.","88.00","95","9","1"
"375",1,"ENTREGADO","Plato para compartir.","21.00","95","4","1"
"376",1,"ENTREGADO","Entrega rápida.","22.00","95","9","1"
"377",1,"ENTREGADO","Servir en dos platos.","22.00","96","3","1"
"378",2,"ENTREGADO","Con limón aparte.","44.00","96","3","1"
"379",3,"ENTREGADO","Plato para compartir.","63.00","96","4","1"
"380",1,"ENTREGADO","Cocinar bien la carne.","38.00","97","20","1"
"381",4,"ENTREGADO","Evitar ingredientes crudos.","112.00","97","1","1"
"382",2,"ENTREGADO","Con limón aparte.","44.00","97","9","1"
"383",1,"ENTREGADO","Servir en dos platos.","40.00","97","14","1"
"384",1,"ENTREGADO","No añadir mayonesa.","33.00","97","17","1"
"385",1,"ENTREGADO","Agregar cubiertos adicionales.","22.00","97","3","1"
"386",1,"ENTREGADO","Con limón aparte.","18.00","98","21","1"
"387",2,"ENTREGADO","Usar queso sin lactosa.","66.00","98","17","1"
"388",1,"ENTREGADO","Servir bien caliente.","9.00","98","29","1"
"389",1,"ENTREGADO","Cocinar bien la carne.","22.00","98","3","1"
"390",1,"ENTREGADO","Servir bien caliente.","26.00","98","11","1"
"391",1,"ENTREGADO","Servir en dos platos.","22.00","99","3","1"
"392",1,"ENTREGADO","Usar queso sin lactosa.","40.00","99","14","1"
"393",2,"ENTREGADO","Agregar cubiertos adicionales.","56.00","99","1","1"
"394",1,"ENTREGADO","Evitar ingredientes crudos.","8.00","99","22","1"
"395",2,"ENTREGADO","Dividir el plato.","68.00","99","13","1"
