"pedido_id","estado","fecha_hora","notas","total","tenant_id","cuenta_mesa_id"
"30",True,"2024-12-20 21:09:50.675315","Plato para compartir.","232","1","25"
"31",True,"2024-10-11 13:53:32.045178","Sin cebolla, por favor.","101","1","26"
"32",True,"2024-03-22 21:34:22.574131","Entrega rápida.","118","1","27"
"33",True,"2025-06-02 00:00:00","Dividir el plato.","237","1","28"
"34",True,"2024-12-08 14:44:37.175519","Evitar ingredientes crudos.","141","1","29"
"35",True,"2025-02-28 20:55:02.506827","Usar queso sin lactosa.","232","1","30"
"36",True,"2024-07-12 21:48:10.016432","Servir bien caliente.","167","1","31"
"37",True,"2025-02-27 13:25:13.989154","Agregar salsa extra.","81","1","32"
"38",True,"2024-12-09 23:18:02.375313","Entrega rápida.","142","1","33"
"39",True,"2025-06-02 00:00:00","Evitar ingredientes crudos.","240","1","34"
"40",True,"2024-08-08 13:51:34.45759","Sin aderezo.","139","1","35"
"41",True,"2024-08-08 14:00:21.021899","Agregar salsa extra.","137","1","35"
"42",True,"2023-09-04 13:10:33.298325","Con limón aparte.","295","1","36"
"43",True,"2024-12-17 14:19:37.992669","Con limón aparte.","185","1","37"
"44",True,"2024-07-14 13:28:30.310683","Agregar salsa extra.","255","1","38"
"45",True,"2024-07-07 16:10:17.66359","Plato para compartir.","159","1","39"
"46",True,"2024-01-30 15:09:39.04598","Agregar salsa extra.","279","1","40"
"47",True,"2025-04-17 15:55:15.560091","Cocinar bien la carne.","243","1","41"
"48",True,"2024-01-19 16:21:28.435536","No incluir pan.","87","1","42"
"49",True,"2024-01-19 15:28:42.422256","Poco picante.","223","1","42"
"50",True,"2024-01-19 16:24:44.199178","Sin cebolla, por favor.","252","1","42"
"51",True,"2025-04-11 13:51:07.819354","Agregar salsa extra.","198","1","43"
"52",True,"2023-06-30 16:01:44.230553","Preparar como la vez pasada.","76","1","44"
"53",True,"2024-05-20 20:40:55.4313","Poco picante.","108","1","45"
"54",True,"2023-07-17 22:58:46.089099","Evitar ingredientes crudos.","98","1","46"
"55",True,"2024-06-14 15:12:50.953831","Servir en dos platos.","157","1","47"
"56",True,"2024-11-08 20:01:02.424316","No añadir mayonesa.","188","1","48"
"57",True,"2025-06-02 00:00:00","Usar queso sin lactosa.","87","1","49"
"58",True,"2025-01-15 20:21:43.116388","Agregar cubiertos adicionales.","65","1","50"
"59",True,"2024-03-22 14:11:13.583084","Servir en dos platos.","131","1","51"
"60",True,"2024-07-18 15:12:20.066768","Preparar como la vez pasada.","218","1","52"
"61",True,"2025-03-07 21:00:58.721802","Sin cebolla, por favor.","277","1","53"
"62",True,"2024-08-16 21:33:14.894646","Plato para compartir.","307","1","54"
"63",True,"2024-09-19 20:29:10.182099","Cocinar bien la carne.","464","1","55"
"64",True,"2024-12-20 19:43:08.840557","Cocinar bien la carne.","236","1","56"
"65",True,"2025-03-07 22:38:27.522879","Plato para compartir.","88","1","57"
"66",True,"2023-11-03 22:16:22.43067","","319","1","58"
"67",True,"2023-08-04 21:12:38.317936","Agregar cubiertos adicionales.","315","1","59"
"68",True,"2024-10-04 21:47:22.30789","Dividir el plato.","193","1","60"
"69",True,"2024-10-18 13:28:04.655536","Cocinar bien la carne.","100","1","61"
"70",True,"2024-09-22 21:08:07.696708","No incluir pan.","106","1","62"
"71",True,"2023-08-18 19:43:24.534961","No incluir pan.","201","1","63"
"72",True,"2024-02-15 22:23:22.140369","Servir bien caliente.","116","1","64"
"73",True,"2025-06-02 00:00:00","Con limón aparte.","199","1","65"
"74",True,"2024-12-30 15:24:12.159529","Entrega rápida.","76","1","66"
"75",True,"2024-08-19 23:18:27.050301","Servir en dos platos.","216","1","67"
"76",True,"2024-08-19 21:38:22.194296","Servir en dos platos.","66","1","67"
"77",True,"2023-09-14 22:53:56.047477","Evitar ingredientes crudos.","145","1","68"
"78",True,"2024-05-24 14:38:42.697341","Cocinar bien la carne.","151","1","69"
"79",True,"2023-09-22 20:09:24.07356","Entrega rápida.","176","1","70"
"80",True,"2025-02-21 20:00:37.777468","Sin cebolla, por favor.","62","1","71"
"81",True,"2023-09-01 20:27:19.247154","Con limón aparte.","172","1","72"
"82",True,"2023-12-08 15:16:40.625461","Poco picante.","130","1","73"
"83",True,"2023-12-08 15:04:27.958686","Preparar como la vez pasada.","101","1","73"
"84",True,"2023-12-08 15:12:52.279509","Cocinar bien la carne.","287","1","73"
"85",True,"2024-12-12 19:32:16.587474","Dividir el plato.","113","1","74"
"86",True,"2024-07-02 20:17:45.450356","Agregar cubiertos adicionales.","150","1","75"
"87",True,"2024-08-10 15:35:59.957759","Plato para compartir.","224","1","76"
"88",True,"2024-04-26 22:01:34.136581","Servir bien caliente.","131","1","77"
"89",True,"2023-08-12 14:13:45.355189","Dividir el plato.","262","1","78"
"90",True,"2024-12-20 22:36:19.071983","Preparar como la vez pasada.","313","1","79"
"91",True,"2024-09-27 14:41:18.573121","Sin aderezo.","159","1","80"
"92",True,"2024-09-27 15:02:46.513134","No añadir mayonesa.","161","1","80"
"93",True,"2024-09-27 14:08:58.539744","Entrega rápida.","158","1","80"
"94",True,"2023-08-18 15:42:06.217425","Cocinar bien la carne.","60","1","81"
"95",True,"2023-10-06 20:56:47.601881","Cocinar bien la carne.","204","1","82"
"96",True,"2024-08-30 19:23:44.325567","Evitar ingredientes crudos.","129","1","83"
"97",True,"2025-03-07 13:30:44.84928","No añadir mayonesa.","289","1","84"
"98",True,"2025-06-02 00:00:00","Evitar ingredientes crudos.","141","1","85"
"99",True,"2024-02-27 22:14:26.238499","Preparar como la vez pasada.","223","1","86"
"100",True,"2024-07-29 16:46:13.126655","Cocinar bien la carne.","231","1","87"
"101",True,"2024-09-23 15:08:45.267286","No incluir pan.","189","1","88"
"102",True,"2024-07-28 00:27:51.188587","","225","1","89"
"103",True,"2024-07-27 23:46:20.688601","Agregar salsa extra.","229","1","89"
"104",True,"2024-07-28 00:11:06.155289","Usar queso sin lactosa.","97","1","89"
"105",True,"2025-01-17 20:31:30.843779","No añadir mayonesa.","174","1","90"
"106",True,"2025-01-17 20:15:25.704987","Poco picante.","122","1","90"
"107",True,"2025-03-13 19:30:27.255561","Entrega rápida.","270","1","91"
"108",True,"2024-05-10 21:32:00.599076","Agregar cubiertos adicionales.","64","1","92"
"109",True,"2024-02-16 19:55:15.047058","Agregar cubiertos adicionales.","115","1","93"
"110",True,"2024-08-02 21:06:03.747198","Cocinar bien la carne.","45","1","94"
"111",True,"2024-12-20 22:39:49.697928","Cocinar bien la carne.","44","1","95"
"112",True,"2024-12-20 21:49:19.84329","Usar queso sin lactosa.","133","1","95"
"113",True,"2025-05-30 21:26:11.827362","Poco picante.","153","1","96"
"114",True,"2024-09-16 14:40:05.073277","Con limón aparte.","180","1","97"
"115",True,"2024-09-27 20:35:19.265396","No incluir pan.","151","1","98"
"116",True,"2024-03-10 17:15:40.507109","Cocinar bien la carne.","76","1","99"
"117",True,"2024-03-10 16:18:42.490265","Agregar salsa extra.","204","1","99"
"118",True,"2025-01-24 14:26:29.563084","Entrega rápida.","135","1","100"
"119",True,"2025-01-24 14:17:35.37575","Plato para compartir.","187","1","100"
"120",True,"2025-01-24 13:46:09.083533","Plato para compartir.","50","1","100"
"121",True,"2024-09-10 22:25:02.440357","Poco picante.","156","1","101"
"122",True,"2024-09-28 22:00:41.403445","Con limón aparte.","94","1","102"
"123",True,"2023-10-13 14:24:04.05024","Sin cebolla, por favor.","225","1","103"
"124",True,"2024-07-25 13:14:49.47084","","286","1","104"
"125",True,"2024-05-03 19:43:52.761955","Poco picante.","156","1","105"
"126",True,"2025-02-28 15:00:36.242796","Poco picante.","145","1","106"
"127",True,"2024-08-30 12:05:25.401335","Evitar ingredientes crudos.","183","1","107"
"128",True,"2024-08-30 13:29:31.958997","Servir bien caliente.","172","1","107"
"129",True,"2023-11-03 22:37:16.518336","Preparar como la vez pasada.","124","1","108"
"130",True,"2024-08-23 22:56:38.222916","Dividir el plato.","282","1","109"
"131",True,"2025-06-02 00:00:00","Sin cebolla, por favor.","176","1","110"
"132",True,"2023-12-22 12:52:33.316742","Evitar ingredientes crudos.","49","1","111"
"133",True,"2023-06-24 14:38:39.42257","Agregar salsa extra.","147","1","112"
"134",True,"2024-08-21 14:40:39.772677","Plato para compartir.","218","1","113"
"135",True,"2024-08-21 13:42:29.876904","Cocinar bien la carne.","125","1","113"
"136",True,"2024-08-21 14:16:16.536432","Servir en dos platos.","115","1","113"
"137",True,"2025-03-05 20:01:37.125795","Dividir el plato.","132","1","114"
"138",True,"2024-07-01 22:05:10.259148","Usar queso sin lactosa.","132","1","115"
"139",True,"2024-07-01 23:03:41.013742","Servir en dos platos.","120","1","115"
"140",True,"2024-02-20 14:56:18.448472","Preparar como la vez pasada.","116","1","116"
"141",True,"2023-12-24 22:48:47.557277","Sin cebolla, por favor.","65","1","117"
"142",True,"2023-12-02 12:56:36.504629","Servir bien caliente.","130","1","118"
"143",True,"2025-06-02 00:00:00","Entrega rápida.","53","1","119"
"144",True,"2025-03-28 22:43:59.89385","Preparar como la vez pasada.","126","1","120"
"145",True,"2024-12-18 15:03:56.047266","Poco picante.","103","1","121"
"146",True,"2024-12-18 14:49:33.300903","Usar queso sin lactosa.","142","1","121"
"147",True,"2024-12-18 14:00:20.723074","Servir bien caliente.","147","1","121"
"148",True,"2024-07-30 22:39:24.974574","Sin cebolla, por favor.","376","1","122"
"149",True,"2024-08-30 13:10:32.929727","No incluir pan.","173","1","123"
"150",True,"2023-08-04 15:13:37.934181","Agregar salsa extra.","141","1","124"
"151",True,"2023-07-23 14:54:50.724959","Sin cebolla, por favor.","203","1","125"
"152",True,"2023-07-23 14:45:13.352242","Dividir el plato.","276","1","125"
"153",True,"2024-12-26 14:56:20.970077","Sin cebolla, por favor.","274","1","126"
"154",True,"2023-12-01 13:36:28.85269","Con limón aparte.","100","1","127"
"155",True,"2023-12-01 13:42:51.160247","Poco picante.","182","1","127"
"156",True,"2023-12-23 20:03:45.867449","Agregar cubiertos adicionales.","112","1","128"
"157",True,"2024-11-08 14:28:42.378224","Con limón aparte.","98","1","129"
"158",True,"2024-08-13 20:00:44.044038","Dividir el plato.","161","1","130"
"159",True,"2024-08-26 22:36:19.501493","No añadir mayonesa.","110","1","131"
"160",True,"2024-09-13 22:27:28.192402","","299","1","132"
"161",True,"2024-08-16 14:58:29.401313","","69","1","133"
"162",True,"2024-04-17 15:59:58.967282","Sin cebolla, por favor.","239","1","134"
"163",True,"2023-09-08 13:50:00.657924","Usar queso sin lactosa.","158","1","135"
"164",True,"2023-09-08 14:32:12.831505","Evitar ingredientes crudos.","163","1","135"
"165",True,"2025-04-18 23:36:27.127944","Cocinar bien la carne.","103","1","136"
"166",True,"2025-06-02 00:00:00","Servir en dos platos.","89","1","137"
"167",True,"2023-09-27 21:29:57.88942","Entrega rápida.","323","1","138"
"168",True,"2023-09-27 20:48:18.004172","Agregar cubiertos adicionales.","97","1","138"
"169",True,"2025-02-14 14:41:59.47836","Poco picante.","140","1","139"
"170",True,"2024-05-31 21:02:55.871349","No incluir pan.","130","1","140"
"171",True,"2024-06-21 16:03:01.939579","Servir bien caliente.","35","1","141"
"172",True,"2024-06-21 15:01:43.773754","Con limón aparte.","170","1","141"
"173",True,"2024-06-21 15:41:06.07212","Entrega rápida.","146","1","141"
"174",True,"2023-07-28 13:14:09.500862","No añadir mayonesa.","108","1","142"
"175",True,"2024-08-02 12:53:20.335507","Cocinar bien la carne.","153","1","143"
"176",True,"2023-07-21 13:21:12.723334","Preparar como la vez pasada.","120","1","144"
"177",True,"2024-08-23 21:48:07.003747","Agregar cubiertos adicionales.","45","1","145"
"178",True,"2023-08-18 20:36:02.370153","Plato para compartir.","156","1","146"
"179",True,"2025-01-10 14:42:40.480245","Sin cebolla, por favor.","144","1","147"
"180",True,"2025-06-02 00:00:00","Cocinar bien la carne.","238","1","148"
"181",True,"2024-05-17 13:54:16.786959","Cocinar bien la carne.","294","1","149"
"182",True,"2024-05-26 13:42:51.36567","Poco picante.","191","1","150"
"183",True,"2024-05-26 13:54:43.264782","Usar queso sin lactosa.","219","1","150"
"184",True,"2025-04-04 22:17:20.131329","Preparar como la vez pasada.","82","1","151"
"185",True,"2025-04-04 22:18:02.244799","Agregar cubiertos adicionales.","100","1","151"
"186",True,"2025-03-07 21:30:58.654451","Entrega rápida.","176","1","152"
"187",True,"2024-05-31 19:45:35.280975","","160","1","153"
"188",True,"2025-02-21 22:52:00.861716","No incluir pan.","141","1","154"
"189",True,"2024-04-26 13:08:21.898555","No añadir mayonesa.","60","1","155"
"190",True,"2024-12-30 21:09:35.558725","Entrega rápida.","109","1","156"
"191",True,"2024-07-05 22:15:18.798857","Cocinar bien la carne.","72","1","157"
"192",True,"2024-12-24 22:34:33.508359","Cocinar bien la carne.","354","1","158"
"193",True,"2024-05-10 16:07:30.350634","Con limón aparte.","146","1","159"
"194",True,"2024-04-19 16:02:07.599755","No incluir pan.","85","1","160"
"195",True,"2024-11-08 13:27:49.807786","Plato para compartir.","110","1","161"
"196",True,"2023-07-20 21:56:33.821375","Poco picante.","152","1","162"
"197",True,"2025-02-28 14:32:44.050963","Con limón aparte.","112","1","163"
"198",True,"2024-08-23 23:22:31.240263","Agregar cubiertos adicionales.","374","1","164"
"199",True,"2024-04-13 15:06:58.714597","Entrega rápida.","134","1","165"
"200",True,"2024-06-28 14:41:58.688535","Entrega rápida.","240","1","166"
"201",True,"2024-12-21 12:25:31.56081","Dividir el plato.","187","1","167"
"202",True,"2024-08-23 19:59:24.13735","Entrega rápida.","260","1","168"
"203",True,"2024-07-02 14:11:03.949469","","128","1","169"
"204",True,"2024-07-02 13:16:44.398356","Cocinar bien la carne.","75","1","169"
"205",True,"2024-07-02 14:53:15.860819","Usar queso sin lactosa.","60","1","169"
"206",True,"2023-08-03 22:46:10.134985","Agregar cubiertos adicionales.","270","1","170"
"207",True,"2023-08-25 13:40:39.188108","Con limón aparte.","272","1","171"
"208",True,"2024-08-02 22:59:58.643923","No incluir pan.","58","1","172"
"209",True,"2025-06-02 00:00:00","Entrega rápida.","114","1","173"
"210",True,"2025-04-12 16:02:56.988001","Preparar como la vez pasada.","334","1","174"
"211",True,"2024-07-05 19:33:57.43426","Plato para compartir.","153","1","175"
"212",True,"2025-04-04 21:48:11.065803","Dividir el plato.","140","1","176"
"213",True,"2025-05-09 21:40:23.532687","","144","1","177"
"214",True,"2023-12-29 13:13:58.315281","No incluir pan.","182","1","178"
"215",True,"2023-07-09 16:24:36.526293","Cocinar bien la carne.","235","1","179"
"216",True,"2023-10-07 20:49:12.793395","Plato para compartir.","339","1","180"
"217",True,"2024-10-22 22:09:15.727288","Plato para compartir.","48","1","181"
"218",True,"2024-12-13 14:55:05.885087","Cocinar bien la carne.","168","1","182"
"219",True,"2024-12-13 16:01:31.002431","Poco picante.","82","1","182"
"220",True,"2024-05-31 16:51:51.200585","Sin aderezo.","116","1","183"
"221",True,"2024-06-14 13:54:17.92946","Usar queso sin lactosa.","206","1","184"
"222",True,"2024-06-14 14:01:48.082308","Sin aderezo.","77","1","184"
"223",True,"2023-08-11 15:00:33.979724","","201","1","185"
"224",True,"2024-06-21 20:45:58.501085","Usar queso sin lactosa.","149","1","186"
"225",True,"2024-06-21 20:47:46.449525","Cocinar bien la carne.","233","1","186"
"226",True,"2023-06-28 20:43:28.740191","Servir en dos platos.","54","1","187"
"227",True,"2024-08-07 14:09:57.5991","Con limón aparte.","305","1","188"
"228",True,"2023-08-30 15:29:08.947082","Evitar ingredientes crudos.","308","1","189"
"229",True,"2023-08-30 16:02:27.111016","Preparar como la vez pasada.","162","1","189"
"230",True,"2023-11-10 23:44:50.901081","Dividir el plato.","223","1","190"
"231",True,"2024-12-30 21:20:49.2006","Usar queso sin lactosa.","256","1","191"
"232",True,"2023-08-11 22:11:54.264934","Agregar salsa extra.","126","1","192"
"233",True,"2023-10-08 19:33:45.062714","Servir bien caliente.","226","1","193"
"234",True,"2023-10-13 13:22:43.926962","Agregar cubiertos adicionales.","54","1","194"
"235",True,"2025-05-30 21:51:36.29481","Preparar como la vez pasada.","94","1","195"
"236",True,"2025-05-30 21:32:18.609058","Agregar cubiertos adicionales.","58","1","195"
"237",True,"2023-10-08 13:15:08.132532","Agregar cubiertos adicionales.","181","1","196"
"238",True,"2023-10-08 14:05:45.84058","Servir en dos platos.","216","1","196"
"239",True,"2025-04-06 17:36:15.237094","Con limón aparte.","244","1","197"
"240",True,"2025-06-02 00:00:00","Preparar como la vez pasada.","239","1","198"
"241",True,"2025-06-02 00:00:00","Agregar salsa extra.","213","1","198"
"242",True,"2025-06-02 00:00:00","Servir en dos platos.","66","1","198"
"243",True,"2024-10-11 19:46:11.68354","Servir en dos platos.","210","1","199"
"244",True,"2024-10-11 15:48:54.298819","No añadir mayonesa.","220","1","200"
"245",True,"2024-07-21 20:17:14.855662","Plato para compartir.","214","1","201"
"246",True,"2024-06-29 14:50:06.987436","No incluir pan.","166","1","202"
"247",True,"2024-06-29 14:49:13.347098","Agregar cubiertos adicionales.","204","1","202"
"248",True,"2024-10-24 14:48:38.164164","Sin cebolla, por favor.","149","1","203"
"249",True,"2024-02-09 13:46:31.018495","Plato para compartir.","225","1","204"
"250",True,"2024-03-22 19:51:35.56306","No incluir pan.","89","1","205"
"251",True,"2024-07-19 15:21:13.81728","Plato para compartir.","238","1","206"
"252",True,"2025-06-02 00:00:00","Dividir el plato.","195","1","207"
"253",True,"2023-12-22 12:06:14.917058","Dividir el plato.","304","1","208"
"254",True,"2023-11-01 16:25:39.580766","Cocinar bien la carne.","158","1","209"
"255",True,"2024-11-02 21:58:30.34632","Sin cebolla, por favor.","113","1","210"
"256",True,"2025-04-25 17:13:59.471741","Usar queso sin lactosa.","117","1","211"
"257",True,"2025-02-07 20:45:04.559085","No añadir mayonesa.","70","1","212"
"258",True,"2023-12-31 21:26:29.553331","Sin aderezo.","67","1","213"
"259",True,"2025-05-09 22:52:48.552139","Usar queso sin lactosa.","169","1","214"
"260",True,"2025-06-02 00:00:00","Cocinar bien la carne.","188","1","215"
"261",True,"2024-12-13 23:01:08.945461","Preparar como la vez pasada.","224","1","216"
"262",True,"2024-08-15 16:04:54.1429","No incluir pan.","97","1","217"
"263",True,"2024-12-26 14:26:16.907976","Servir bien caliente.","105","1","218"
"264",True,"2024-05-20 15:33:02.590825","Dividir el plato.","105","1","219"
"265",True,"2025-04-04 14:47:37.357237","Plato para compartir.","56","1","220"
"266",True,"2023-10-20 13:51:28.779537","Servir en dos platos.","207","1","221"
"267",True,"2023-07-28 20:59:17.34335","Preparar como la vez pasada.","276","1","222"
"268",True,"2024-07-22 19:47:53.000488","Agregar salsa extra.","342","1","223"
"269",True,"2024-03-20 14:00:36.312169","Entrega rápida.","238","1","224"
"270",True,"2024-08-02 13:32:55.498966","No incluir pan.","198","1","225"
"271",True,"2024-08-02 13:37:27.339327","Agregar salsa extra.","268","1","225"
"272",True,"2023-06-16 14:34:50.304192","Plato para compartir.","337","1","226"
"273",True,"2024-07-01 14:57:20.678214","Sin cebolla, por favor.","266","1","227"
"274",True,"2024-04-05 15:52:55.254172","Dividir el plato.","115","1","228"
"275",True,"2024-11-15 12:42:22.761458","Agregar salsa extra.","239","1","229"
"276",True,"2024-06-28 16:06:07.428933","Servir bien caliente.","134","1","230"
"277",True,"2025-05-16 19:35:24.080452","Usar queso sin lactosa.","243","1","231"
"278",True,"2025-06-02 00:00:00","Servir bien caliente.","154","1","232"
"279",True,"2024-07-31 21:03:51.28205","Agregar cubiertos adicionales.","103","1","233"
"280",True,"2024-11-22 14:24:13.096978","Sin cebolla, por favor.","237","1","234"
"281",True,"2025-06-02 00:00:00","Servir en dos platos.","152","1","235"
"282",True,"2023-07-28 19:39:51.226302","Dividir el plato.","288","1","236"
"283",True,"2024-07-12 13:52:34.415085","No incluir pan.","345","1","237"
"284",True,"2023-08-11 15:46:07.720156","Cocinar bien la carne.","74","1","238"
"285",True,"2024-09-03 19:29:08.184712","Servir en dos platos.","131","1","239"
"286",True,"2023-10-06 20:33:23.432661","No añadir mayonesa.","200","1","240"
"287",True,"2024-04-05 20:19:18.547742","","183","1","241"
"288",True,"2024-04-05 20:08:24.905164","Agregar salsa extra.","226","1","241"
"289",True,"2024-03-15 13:07:38.113397","Cocinar bien la carne.","200","1","242"
"290",True,"2023-08-11 20:57:21.474861","Sin cebolla, por favor.","174","1","243"
"291",True,"2024-02-02 13:30:57.536933","Evitar ingredientes crudos.","86","1","244"
"292",True,"2024-02-02 13:34:15.4714","Entrega rápida.","216","1","244"
"293",True,"2024-12-02 22:01:19.923727","Plato para compartir.","392","1","245"
"294",True,"2025-03-04 13:00:40.880624","Servir bien caliente.","159","1","246"
"295",True,"2024-07-26 21:27:59.873635","No añadir mayonesa.","58","1","247"
"296",True,"2023-08-04 20:51:58.755549","Dividir el plato.","91","1","248"
"297",True,"2023-08-04 21:43:42.77724","Agregar salsa extra.","198","1","248"
"298",True,"2024-12-04 13:36:50.717725","Con limón aparte.","64","1","249"
"299",True,"2024-12-04 13:11:16.882038","Con limón aparte.","116","1","249"
"300",True,"2023-12-11 22:03:47.350695","Entrega rápida.","331","1","250"
"301",True,"2024-01-04 15:08:49.909313","","100","1","251"
"302",True,"2024-07-12 16:06:45.27149","Evitar ingredientes crudos.","379","1","252"
"303",True,"2024-11-08 22:58:20.69631","No añadir mayonesa.","165","1","253"
"304",True,"2024-08-02 22:02:56.230297","Entrega rápida.","296","1","254"
"305",True,"2024-08-02 21:39:03.235157","Evitar ingredientes crudos.","126","1","254"
"306",True,"2024-04-05 20:04:58.11238","Agregar salsa extra.","125","1","255"
"307",True,"2025-03-20 23:11:55.988714","Plato para compartir.","221","1","256"
"308",True,"2024-12-08 20:40:20.011544","Sin aderezo.","221","1","257"
"309",True,"2024-08-02 13:25:40.060308","Servir bien caliente.","323","1","258"
"310",True,"2024-08-02 12:57:49.339001","Con limón aparte.","205","1","258"
"311",True,"2025-02-23 20:00:03.708885","Plato para compartir.","82","1","259"
"312",True,"2023-08-23 14:57:36.321342","Agregar cubiertos adicionales.","350","1","260"
"313",True,"2024-12-22 16:33:40.485103","Entrega rápida.","149","1","261"
"314",True,"2024-12-22 15:24:30.630664","Con limón aparte.","303","1","261"
"315",True,"2024-07-26 22:13:03.708095","Sin aderezo.","133","1","262"
"316",True,"2023-09-08 19:42:16.931026","Plato para compartir.","77","1","263"
"317",True,"2025-03-23 14:42:35.997404","Servir bien caliente.","124","1","264"
"318",True,"2024-08-08 22:50:28.745909","Servir en dos platos.","149","1","265"
"319",True,"2025-01-24 20:51:58.688069","Con limón aparte.","94","1","266"
"320",True,"2025-04-25 21:52:10.968974","Sin cebolla, por favor.","145","1","267"
"321",True,"2023-07-28 12:45:34.025644","Plato para compartir.","169","1","268"
"322",True,"2023-07-02 20:37:50.070109","Poco picante.","151","1","269"
"323",True,"2025-05-02 20:40:49.086456","Entrega rápida.","433","1","270"
"324",True,"2024-06-25 21:34:27.646751","Agregar cubiertos adicionales.","161","1","271"
"325",True,"2024-06-25 21:37:29.191893","Sin aderezo.","143","1","271"
"326",True,"2024-07-04 14:51:50.18962","","182","1","272"
"327",True,"2023-12-01 15:04:55.120938","Con limón aparte.","75","1","273"
"328",True,"2024-12-25 21:02:09.678568","Agregar cubiertos adicionales.","193","1","274"
"329",True,"2024-08-08 15:07:30.410296","Dividir el plato.","87","1","275"
"330",True,"2024-02-09 20:59:03.082662","Sin aderezo.","153","1","276"
"331",True,"2025-02-28 20:20:27.31977","Agregar cubiertos adicionales.","216","1","277"
"332",True,"2025-02-28 19:34:43.224964","Agregar cubiertos adicionales.","128","1","277"
"333",True,"2024-04-05 14:38:45.453166","Evitar ingredientes crudos.","254","1","278"
"334",True,"2025-05-13 14:36:52.227732","Usar queso sin lactosa.","116","1","279"
"335",True,"2023-12-26 15:02:28.747152","Evitar ingredientes crudos.","377","1","280"
"336",True,"2024-08-23 15:01:56.837284","Evitar ingredientes crudos.","176","1","281"
"337",True,"2023-12-22 14:07:35.291257","Poco picante.","120","1","282"
"338",True,"2025-01-24 22:00:15.848035","Entrega rápida.","349","1","283"
"339",True,"2023-09-21 16:11:45.790989","Servir bien caliente.","137","1","284"
"340",True,"2024-08-16 14:33:54.644117","Agregar salsa extra.","97","1","285"
"341",True,"2024-06-21 21:55:21.701582","Servir en dos platos.","93","1","286"
"342",True,"2024-04-05 14:27:04.69341","Agregar cubiertos adicionales.","53","1","287"
"343",True,"2024-01-05 12:42:41.908893","Plato para compartir.","121","1","288"
"344",True,"2025-05-30 21:23:13.106492","Dividir el plato.","218","1","289"
"345",True,"2024-12-20 21:09:48.871354","Cocinar bien la carne.","48","1","290"
"346",True,"2024-07-12 14:24:42.193488","Plato para compartir.","37","1","291"
"347",True,"2025-06-02 00:00:00","Agregar salsa extra.","155","1","292"
"348",True,"2025-06-02 00:00:00","Cocinar bien la carne.","221","1","292"
"349",True,"2024-11-23 20:21:54.510473","No incluir pan.","323","1","293"
"350",True,"2025-02-28 16:31:20.702488","Agregar cubiertos adicionales.","245","1","294"
"351",True,"2024-12-02 14:59:36.613339","No añadir mayonesa.","171","1","295"
"352",True,"2024-12-02 13:59:09.085286","Servir en dos platos.","330","1","295"
"353",True,"2023-12-15 23:52:02.06909","Agregar salsa extra.","99","1","296"
"354",True,"2023-12-15 13:52:07.327777","","150","1","297"
"355",True,"2025-01-03 22:56:03.896386","Con limón aparte.","377","1","298"
