"cuenta_mesa_id","created_at","estado","fecha_hora_fin","fecha_hora_ini","monto_total","num_comensales","updated_at","cliente_id","mesa_id","tenant_id"
"26","2024-10-11 12:10:00","CERRADA","2024-10-11 13:55:28.606457","2024-10-11 12:10:00","101.00",7,"2024-10-11 13:55:28.606457","123","3","1"
"27","2024-03-22 20:42:00","CERRADA","2024-03-22 23:08:12.539582","2024-03-22 20:42:00","118.00",8,"2024-03-22 23:08:12.539582","1","5","1"
"28","2025-06-02 00:00:00","CERRADA","2025-06-02 00:00:00","2025-06-02 00:00:00","237.00",1,"2025-06-02 00:00:00","153","4","1"
"29","2024-12-08 12:43:00","CERRADA","2024-12-08 15:26:25.098254","2024-12-08 12:43:00","141.00",1,"2024-12-08 15:26:25.098254","273","3","1"
"30","2025-02-28 20:33:00","CERRADA","2025-02-28 22:10:57.862891","2025-02-28 20:33:00","232.00",1,"2025-02-28 22:10:57.862891","293","4","1"
"31","2024-07-12 19:20:00","CERRADA","2024-07-12 22:11:28.931988","2024-07-12 19:20:00","167.00",5,"2024-07-12 22:11:28.931988","162","4","1"
"32","2025-02-27 12:34:00","CERRADA","2025-02-27 13:59:34.711048","2025-02-27 12:34:00","81.00",8,"2025-02-27 13:59:34.711048","1","1","1"
"33","2024-12-09 21:19:00","CERRADA","2024-12-09 23:32:24.079913","2024-12-09 21:19:00","142.00",2,"2024-12-09 23:32:24.079913","180","15","1"
"34","2025-06-02 00:00:00","CERRADA","2025-06-02 00:00:00","2025-06-02 00:00:00","240.00",1,"2025-06-02 00:00:00","1","11","1"
"35","2024-08-08 13:43:00","CERRADA","2024-08-08 15:59:06.513304","2024-08-08 13:43:00","276.00",3,"2024-08-08 15:59:06.513304","56","12","1"
"36","2023-09-04 12:00:00","CERRADA","2023-09-04 13:40:01.607078","2023-09-04 12:00:00","295.00",1,"2023-09-04 13:40:01.607078","252","5","1"
"37","2024-12-17 12:04:00","CERRADA","2024-12-17 14:57:24.366761","2024-12-17 12:04:00","185.00",8,"2024-12-17 14:57:24.366761","136","3","1"
"38","2024-07-14 12:19:00","CERRADA","2024-07-14 14:02:45.49091","2024-07-14 12:19:00","255.00",1,"2024-07-14 14:02:45.49091","78","9","1"
"39","2024-07-07 14:49:00","CERRADA","2024-07-07 16:56:11.161338","2024-07-07 14:49:00","159.00",1,"2024-07-07 16:56:11.161338","1","14","1"
"40","2024-01-30 13:56:00","CERRADA","2024-01-30 15:45:28.519755","2024-01-30 13:56:00","279.00",3,"2024-01-30 15:45:28.519755","1","10","1"
"41","2025-04-17 14:10:00","CERRADA","2025-04-17 16:44:29.096466","2025-04-17 14:10:00","243.00",7,"2025-04-17 16:44:29.096466","172","13","1"
"42","2024-01-19 14:19:00","CERRADA","2024-01-19 16:57:27.861943","2024-01-19 14:19:00","562.00",8,"2024-01-19 16:57:27.861943","21","14","1"
"43","2025-04-11 12:49:00","CERRADA","2025-04-11 14:22:29.699948","2025-04-11 12:49:00","198.00",1,"2025-04-11 14:22:29.699948","1","4","1"
"44","2023-06-30 13:37:00","CERRADA","2023-06-30 16:32:30.247073","2023-06-30 13:37:00","76.00",6,"2023-06-30 16:32:30.247073","206","11","1"
"45","2024-05-20 20:32:00","CERRADA","2024-05-20 21:45:52.649645","2024-05-20 20:32:00","108.00",7,"2024-05-20 21:45:52.649645","57","10","1"
"46","2023-07-17 20:43:00","CERRADA","2023-07-17 23:09:19.895994","2023-07-17 20:43:00","98.00",5,"2023-07-17 23:09:19.895994","1","4","1"
"47","2024-06-14 14:39:00","CERRADA","2024-06-14 16:16:40.192644","2024-06-14 14:39:00","157.00",4,"2024-06-14 16:16:40.192644","1","11","1"
"48","2024-11-08 19:44:00","CERRADA","2024-11-08 21:19:28.717458","2024-11-08 19:44:00","188.00",5,"2024-11-08 21:19:28.717458","1","12","1"
"49","2025-06-02 00:00:00","CERRADA","2025-06-02 00:00:00","2025-06-02 00:00:00","87.00",7,"2025-06-02 00:00:00","217","11","1"
"50","2025-01-15 19:28:00","CERRADA","2025-01-15 21:49:04.516079","2025-01-15 19:28:00","65.00",7,"2025-01-15 21:49:04.516079","148","4","1"
"51","2024-03-22 14:05:00","CERRADA","2024-03-22 16:43:12.648945","2024-03-22 14:05:00","131.00",2,"2024-03-22 16:43:12.648945","88","11","1"
"52","2024-07-18 13:30:00","CERRADA","2024-07-18 15:43:21.172606","2024-07-18 13:30:00","218.00",5,"2024-07-18 15:43:21.172606","1","11","1"
"53","2025-03-07 19:31:00","CERRADA","2025-03-07 21:18:57.500613","2025-03-07 19:31:00","277.00",7,"2025-03-07 21:18:57.500613","1","8","1"
"54","2024-08-16 21:33:00","CERRADA","2024-08-16 23:28:44.759169","2024-08-16 21:33:00","307.00",2,"2024-08-16 23:28:44.759169","4","15","1"
"55","2024-09-19 20:20:00","CERRADA","2024-09-19 23:14:00.285181","2024-09-19 20:20:00","464.00",3,"2024-09-19 23:14:00.285181","64","8","1"
"56","2024-12-20 19:28:00","CERRADA","2024-12-20 20:59:06.179149","2024-12-20 19:28:00","236.00",7,"2024-12-20 20:59:06.179149","1","10","1"
"57","2025-03-07 21:18:00","CERRADA","2025-03-07 22:46:08.353762","2025-03-07 21:18:00","88.00",8,"2025-03-07 22:46:08.353762","143","13","1"
"58","2023-11-03 21:13:00","CERRADA","2023-11-03 22:20:42.447725","2023-11-03 21:13:00","319.00",3,"2023-11-03 22:20:42.447725","278","2","1"
"59","2023-08-04 20:44:00","CERRADA","2023-08-04 21:46:20.630089","2023-08-04 20:44:00","315.00",7,"2023-08-04 21:46:20.630089","279","8","1"
"60","2024-10-04 19:54:00","CERRADA","2024-10-04 22:40:59.819102","2024-10-04 19:54:00","193.00",7,"2024-10-04 22:40:59.819102","1","10","1"
"61","2024-10-18 12:24:00","CERRADA","2024-10-18 14:04:20.132715","2024-10-18 12:24:00","100.00",4,"2024-10-18 14:04:20.132715","1","9","1"
"62","2024-09-22 20:01:00","CERRADA","2024-09-22 22:49:49.887811","2024-09-22 20:01:00","106.00",3,"2024-09-22 22:49:49.887811","209","12","1"
"63","2023-08-18 19:20:00","CERRADA","2023-08-18 20:45:23.954046","2023-08-18 19:20:00","201.00",7,"2023-08-18 20:45:23.954046","15","2","1"
"64","2024-02-15 21:34:00","CERRADA","2024-02-15 22:40:15.016379","2024-02-15 21:34:00","116.00",7,"2024-02-15 22:40:15.016379","196","5","1"
"65","2025-06-02 00:00:00","CERRADA","2025-06-02 00:00:00","2025-06-02 00:00:00","199.00",2,"2025-06-02 00:00:00","1","4","1"
"66","2024-12-30 14:49:00","CERRADA","2024-12-30 16:33:16.045255","2024-12-30 14:49:00","76.00",2,"2024-12-30 16:33:16.045255","66","8","1"
"67","2024-08-19 20:43:00","CERRADA","2024-08-19 23:31:57.788288","2024-08-19 20:43:00","282.00",3,"2024-08-19 23:31:57.788288","60","13","1"
"68","2023-09-14 21:38:00","CERRADA","2023-09-15 00:14:39.801338","2023-09-14 21:38:00","145.00",4,"2023-09-15 00:14:39.801338","103","2","1"
"69","2024-05-24 12:32:00","CERRADA","2024-05-24 14:49:42.311429","2024-05-24 12:32:00","151.00",1,"2024-05-24 14:49:42.311429","1","10","1"
"70","2023-09-22 19:45:00","CERRADA","2023-09-22 21:03:21.536273","2023-09-22 19:45:00","176.00",8,"2023-09-22 21:03:21.536273","217","14","1"
"71","2025-02-21 19:29:00","CERRADA","2025-02-21 21:21:16.13635","2025-02-21 19:29:00","62.00",5,"2025-02-21 21:21:16.13635","269","11","1"
"72","2023-09-01 19:36:00","CERRADA","2023-09-01 21:49:14.38827","2023-09-01 19:36:00","172.00",4,"2023-09-01 21:49:14.38827","139","6","1"
"73","2023-12-08 14:21:00","CERRADA","2023-12-08 15:54:33.541114","2023-12-08 14:21:00","518.00",6,"2023-12-08 15:54:33.541114","16","8","1"
"74","2024-12-12 19:31:00","CERRADA","2024-12-12 21:37:37.268723","2024-12-12 19:31:00","113.00",1,"2024-12-12 21:37:37.268723","143","9","1"
"75","2024-07-02 19:44:00","CERRADA","2024-07-02 21:13:11.79718","2024-07-02 19:44:00","150.00",8,"2024-07-02 21:13:11.79718","245","11","1"
"76","2024-08-10 14:44:00","CERRADA","2024-08-10 16:38:26.965893","2024-08-10 14:44:00","224.00",6,"2024-08-10 16:38:26.965893","190","8","1"
"77","2024-04-26 21:11:00","CERRADA","2024-04-26 22:33:59.095006","2024-04-26 21:11:00","131.00",4,"2024-04-26 22:33:59.095006","120","2","1"
"78","2023-08-12 13:19:00","CERRADA","2023-08-12 14:20:41.868244","2023-08-12 13:19:00","262.00",5,"2023-08-12 14:20:41.868244","143","12","1"
"79","2024-12-20 21:55:00","CERRADA","2024-12-21 00:25:20.103666","2024-12-20 21:55:00","313.00",1,"2024-12-21 00:25:20.103666","142","1","1"
"80","2024-09-27 12:16:00","CERRADA","2024-09-27 15:08:55.657897","2024-09-27 12:16:00","478.00",5,"2024-09-27 15:08:55.657897","8","10","1"
"81","2023-08-18 13:09:00","CERRADA","2023-08-18 15:46:20.222949","2023-08-18 13:09:00","60.00",8,"2023-08-18 15:46:20.222949","35","7","1"
"82","2023-10-06 20:50:00","CERRADA","2023-10-06 23:04:12.612138","2023-10-06 20:50:00","204.00",4,"2023-10-06 23:04:12.612138","1","2","1"
"83","2024-08-30 19:19:00","CERRADA","2024-08-30 21:27:14.132188","2024-08-30 19:19:00","129.00",8,"2024-08-30 21:27:14.132188","1","7","1"
"84","2025-03-07 13:15:00","CERRADA","2025-03-07 14:35:51.457548","2025-03-07 13:15:00","289.00",4,"2025-03-07 14:35:51.457548","52","13","1"
"85","2025-06-02 00:00:00","CERRADA","2025-06-02 00:00:00","2025-06-02 00:00:00","141.00",8,"2025-06-02 00:00:00","3","7","1"
"86","2024-02-27 21:51:00","CERRADA","2024-02-28 00:43:02.412901","2024-02-27 21:51:00","223.00",4,"2024-02-28 00:43:02.412901","1","2","1"
"87","2024-07-29 14:38:00","CERRADA","2024-07-29 17:07:52.495599","2024-07-29 14:38:00","231.00",3,"2024-07-29 17:07:52.495599","280","4","1"
"88","2024-09-23 14:32:00","CERRADA","2024-09-23 16:36:47.867251","2024-09-23 14:32:00","189.00",2,"2024-09-23 16:36:47.867251","149","8","1"
"89","2024-07-27 21:53:00","CERRADA","2024-07-28 00:36:15.721484","2024-07-27 21:53:00","551.00",7,"2024-07-28 00:36:15.721484","22","15","1"
"90","2025-01-17 19:33:00","CERRADA","2025-01-17 21:51:10.868324","2025-01-17 19:33:00","296.00",5,"2025-01-17 21:51:10.868324","12","13","1"
"91","2025-03-13 19:22:00","CERRADA","2025-03-13 21:11:00.106273","2025-03-13 19:22:00","270.00",7,"2025-03-13 21:11:00.106273","1","3","1"
"92","2024-05-10 21:25:00","CERRADA","2024-05-11 00:02:37.67545","2024-05-10 21:25:00","64.00",3,"2024-05-11 00:02:37.67545","55","14","1"
"93","2024-02-16 19:55:00","CERRADA","2024-02-16 21:56:45.093017","2024-02-16 19:55:00","115.00",6,"2024-02-16 21:56:45.093017","234","2","1"
"94","2024-08-02 20:48:00","CERRADA","2024-08-02 22:47:49.150337","2024-08-02 20:48:00","45.00",8,"2024-08-02 22:47:49.150337","1","11","1"
"95","2024-12-20 21:31:00","CERRADA","2024-12-20 22:45:34.2678","2024-12-20 21:31:00","177.00",5,"2024-12-20 22:45:34.2678","28","4","1"
"96","2025-05-30 20:26:00","CERRADA","2025-05-30 21:37:11.106249","2025-05-30 20:26:00","153.00",4,"2025-05-30 21:37:11.106249","1","10","1"
"97","2024-09-16 13:31:00","CERRADA","2024-09-16 16:22:55.102032","2024-09-16 13:31:00","180.00",2,"2024-09-16 16:22:55.102032","1","15","1"
"98","2024-09-27 19:12:00","CERRADA","2024-09-27 22:02:37.45068","2024-09-27 19:12:00","151.00",8,"2024-09-27 22:02:37.45068","141","7","1"
"99","2024-03-10 14:59:00","CERRADA","2024-03-10 17:33:31.565322","2024-03-10 14:59:00","280.00",2,"2024-03-10 17:33:31.565322","71","14","1"
"100","2025-01-24 13:28:00","CERRADA","2025-01-24 15:32:37.780159","2025-01-24 13:28:00","372.00",5,"2025-01-24 15:32:37.780159","3","5","1"
"101","2024-09-10 21:15:00","CERRADA","2024-09-10 23:23:36.943022","2024-09-10 21:15:00","156.00",7,"2024-09-10 23:23:36.943022","284","13","1"
"102","2024-09-28 19:42:00","CERRADA","2024-09-28 22:17:05.234357","2024-09-28 19:42:00","94.00",6,"2024-09-28 22:17:05.234357","212","1","1"
"103","2023-10-13 12:55:00","CERRADA","2023-10-13 15:36:24.283846","2023-10-13 12:55:00","225.00",1,"2023-10-13 15:36:24.283846","79","8","1"
"104","2024-07-25 12:30:00","CERRADA","2024-07-25 15:03:46.982097","2024-07-25 12:30:00","286.00",3,"2024-07-25 15:03:46.982097","235","1","1"
"105","2024-05-03 19:20:00","CERRADA","2024-05-03 21:35:12.954089","2024-05-03 19:20:00","156.00",2,"2024-05-03 21:35:12.954089","205","11","1"
"106","2025-02-28 14:14:00","CERRADA","2025-02-28 16:43:36.717841","2025-02-28 14:14:00","145.00",1,"2025-02-28 16:43:36.717841","1","8","1"
"107","2024-08-30 12:02:00","CERRADA","2024-08-30 13:40:55.497601","2024-08-30 12:02:00","355.00",2,"2024-08-30 13:40:55.497601","52","13","1"
"108","2023-11-03 21:50:00","CERRADA","2023-11-03 23:11:36.40958","2023-11-03 21:50:00","124.00",7,"2023-11-03 23:11:36.40958","185","6","1"
"109","2024-08-23 21:16:00","CERRADA","2024-08-23 23:11:08.907594","2024-08-23 21:16:00","282.00",4,"2024-08-23 23:11:08.907594","197","10","1"
"110","2025-06-02 00:00:00","CERRADA","2025-06-02 00:00:00","2025-06-02 00:00:00","176.00",5,"2025-06-02 00:00:00","240","15","1"
"111","2023-12-22 12:15:00","CERRADA","2023-12-22 14:00:45.822943","2023-12-22 12:15:00","49.00",5,"2023-12-22 14:00:45.822943","130","8","1"
"112","2023-06-24 14:00:00","CERRADA","2023-06-24 16:07:54.688922","2023-06-24 14:00:00","147.00",5,"2023-06-24 16:07:54.688922","153","12","1"
"113","2024-08-21 13:40:00","CERRADA","2024-08-21 15:02:48.950323","2024-08-21 13:40:00","458.00",8,"2024-08-21 15:02:48.950323","27","15","1"
"114","2025-03-05 19:02:00","CERRADA","2025-03-05 21:11:32.931399","2025-03-05 19:02:00","132.00",2,"2025-03-05 21:11:32.931399","72","11","1"
"115","2024-07-01 20:56:00","CERRADA","2024-07-01 23:52:34.724985","2024-07-01 20:56:00","252.00",5,"2024-07-01 23:52:34.724985","48","15","1"
"116","2024-02-20 14:47:00","CERRADA","2024-02-20 17:31:26.858107","2024-02-20 14:47:00","116.00",3,"2024-02-20 17:31:26.858107","141","14","1"
"117","2023-12-24 21:43:00","CERRADA","2023-12-25 00:40:35.584148","2023-12-24 21:43:00","65.00",2,"2023-12-25 00:40:35.584148","1","8","1"
"118","2023-12-02 12:29:00","CERRADA","2023-12-02 14:13:13.816742","2023-12-02 12:29:00","130.00",6,"2023-12-02 14:13:13.816742","1","13","1"
"119","2025-06-02 00:00:00","CERRADA","2025-06-02 00:00:00","2025-06-02 00:00:00","53.00",7,"2025-06-02 00:00:00","1","5","1"
"120","2025-03-28 21:19:00","CERRADA","2025-03-28 23:36:54.524013","2025-03-28 21:19:00","126.00",4,"2025-03-28 23:36:54.524013","1","6","1"
"121","2024-12-18 13:24:00","CERRADA","2024-12-18 15:18:26.23505","2024-12-18 13:24:00","392.00",5,"2024-12-18 15:18:26.23505","25","1","1"
"122","2024-07-30 20:26:00","CERRADA","2024-07-30 23:18:41.182073","2024-07-30 20:26:00","376.00",3,"2024-07-30 23:18:41.182073","278","7","1"
"123","2024-08-30 12:43:00","CERRADA","2024-08-30 14:27:04.811701","2024-08-30 12:43:00","173.00",8,"2024-08-30 14:27:04.811701","191","4","1"
"124","2023-08-04 12:54:00","CERRADA","2023-08-04 15:32:54.17579","2023-08-04 12:54:00","141.00",6,"2023-08-04 15:32:54.17579","1","11","1"
"125","2023-07-23 13:50:00","CERRADA","2023-07-23 15:57:44.961427","2023-07-23 13:50:00","479.00",1,"2023-07-23 15:57:44.961427","110","11","1"
"126","2024-12-26 12:17:00","CERRADA","2024-12-26 15:00:00.52411","2024-12-26 12:17:00","274.00",4,"2024-12-26 15:00:00.52411","285","4","1"
"127","2023-12-01 13:00:00","CERRADA","2023-12-01 14:42:59.34441","2023-12-01 13:00:00","282.00",5,"2023-12-01 14:42:59.34441","68","9","1"
"128","2023-12-23 19:33:00","CERRADA","2023-12-23 20:46:38.275009","2023-12-23 19:33:00","112.00",6,"2023-12-23 20:46:38.275009","1","10","1"
"129","2024-11-08 13:39:00","CERRADA","2024-11-08 14:44:12.228266","2024-11-08 13:39:00","98.00",6,"2024-11-08 14:44:12.228266","231","13","1"
"130","2024-08-13 19:27:00","CERRADA","2024-08-13 21:49:19.901972","2024-08-13 19:27:00","161.00",5,"2024-08-13 21:49:19.901972","1","14","1"
"131","2024-08-26 20:40:00","CERRADA","2024-08-26 22:50:14.625758","2024-08-26 20:40:00","110.00",2,"2024-08-26 22:50:14.625758","229","2","1"
"132","2024-09-13 21:07:00","CERRADA","2024-09-13 23:49:20.107709","2024-09-13 21:07:00","299.00",5,"2024-09-13 23:49:20.107709","197","10","1"
"133","2024-08-16 14:52:00","CERRADA","2024-08-16 16:46:25.192101","2024-08-16 14:52:00","69.00",4,"2024-08-16 16:46:25.192101","284","12","1"
"134","2024-04-17 13:43:00","CERRADA","2024-04-17 16:33:45.492257","2024-04-17 13:43:00","239.00",7,"2024-04-17 16:33:45.492257","50","6","1"
"135","2023-09-08 13:35:00","CERRADA","2023-09-08 14:42:11.863041","2023-09-08 13:35:00","321.00",7,"2023-09-08 14:42:11.863041","45","2","1"
"136","2025-04-18 21:48:00","CERRADA","2025-04-18 23:38:45.145361","2025-04-18 21:48:00","103.00",6,"2025-04-18 23:38:45.145361","1","9","1"
"137","2025-06-02 00:00:00","CERRADA","2025-06-02 00:00:00","2025-06-02 00:00:00","89.00",5,"2025-06-02 00:00:00","1","1","1"
"138","2023-09-27 19:54:00","CERRADA","2023-09-27 22:01:18.953053","2023-09-27 19:54:00","420.00",6,"2023-09-27 22:01:18.953053","57","6","1"
"139","2025-02-14 14:01:00","CERRADA","2025-02-14 15:22:38.995718","2025-02-14 14:01:00","140.00",1,"2025-02-14 15:22:38.995718","1","10","1"
"140","2024-05-31 20:42:00","CERRADA","2024-05-31 22:30:05.647277","2024-05-31 20:42:00","130.00",6,"2024-05-31 22:30:05.647277","160","15","1"
"141","2024-06-21 14:19:00","CERRADA","2024-06-21 16:45:35.490968","2024-06-21 14:19:00","351.00",4,"2024-06-21 16:45:35.490968","17","2","1"
"142","2023-07-28 12:43:00","CERRADA","2023-07-28 13:52:47.386998","2023-07-28 12:43:00","108.00",2,"2023-07-28 13:52:47.386998","1","10","1"
"143","2024-08-02 12:22:00","CERRADA","2024-08-02 14:13:35.37816","2024-08-02 12:22:00","153.00",8,"2024-08-02 14:13:35.37816","219","8","1"
"144","2023-07-21 12:00:00","CERRADA","2023-07-21 13:24:31.846495","2023-07-21 12:00:00","120.00",5,"2023-07-21 13:24:31.846495","251","9","1"
"145","2024-08-23 21:27:00","CERRADA","2024-08-23 22:48:05.002574","2024-08-23 21:27:00","45.00",3,"2024-08-23 22:48:05.002574","1","13","1"
"146","2023-08-18 19:01:00","CERRADA","2023-08-18 20:56:10.230603","2023-08-18 19:01:00","156.00",6,"2023-08-18 20:56:10.230603","119","9","1"
"147","2025-01-10 14:07:00","CERRADA","2025-01-10 15:55:36.232611","2025-01-10 14:07:00","144.00",7,"2025-01-10 15:55:36.232611","162","10","1"
"148","2025-06-02 00:00:00","CERRADA","2025-06-02 00:00:00","2025-06-02 00:00:00","238.00",8,"2025-06-02 00:00:00","1","3","1"
"149","2024-05-17 12:32:00","CERRADA","2024-05-17 14:47:59.217602","2024-05-17 12:32:00","294.00",5,"2024-05-17 14:47:59.217602","204","14","1"
"150","2024-05-26 13:15:00","CERRADA","2024-05-26 14:27:20.1926","2024-05-26 13:15:00","410.00",6,"2024-05-26 14:27:20.1926","101","15","1"
"151","2025-04-04 21:31:00","CERRADA","2025-04-04 23:26:40.462093","2025-04-04 21:31:00","182.00",3,"2025-04-04 23:26:40.462093","90","10","1"
"152","2025-03-07 19:28:00","CERRADA","2025-03-07 21:43:45.972864","2025-03-07 19:28:00","176.00",6,"2025-03-07 21:43:45.972864","298","8","1"
"153","2024-05-31 19:02:00","CERRADA","2024-05-31 20:08:49.608366","2024-05-31 19:02:00","160.00",1,"2024-05-31 20:08:49.608366","1","10","1"
"154","2025-02-21 20:35:00","CERRADA","2025-02-21 23:29:30.466632","2025-02-21 20:35:00","141.00",2,"2025-02-21 23:29:30.466632","1","2","1"
"155","2024-04-26 12:28:00","CERRADA","2024-04-26 13:40:25.213516","2024-04-26 12:28:00","60.00",4,"2024-04-26 13:40:25.213516","23","8","1"
"156","2024-12-30 19:28:00","CERRADA","2024-12-30 21:30:53.293583","2024-12-30 19:28:00","109.00",2,"2024-12-30 21:30:53.293583","1","6","1"
"157","2024-07-05 20:03:00","CERRADA","2024-07-05 22:37:42.433907","2024-07-05 20:03:00","72.00",5,"2024-07-05 22:37:42.433907","188","6","1"
"158","2024-12-24 21:54:00","CERRADA","2024-12-25 00:12:47.261422","2024-12-24 21:54:00","354.00",2,"2024-12-25 00:12:47.261422","35","6","1"
"159","2024-05-10 14:19:00","CERRADA","2024-05-10 17:15:07.414855","2024-05-10 14:19:00","146.00",3,"2024-05-10 17:15:07.414855","1","14","1"
"160","2024-04-19 14:52:00","CERRADA","2024-04-19 16:07:20.115102","2024-04-19 14:52:00","85.00",2,"2024-04-19 16:07:20.115102","202","3","1"
"161","2024-11-08 13:13:00","CERRADA","2024-11-08 14:54:00.472885","2024-11-08 13:13:00","110.00",7,"2024-11-08 14:54:00.472885","271","2","1"
"162","2023-07-20 20:49:00","CERRADA","2023-07-20 22:53:46.349461","2023-07-20 20:49:00","152.00",4,"2023-07-20 22:53:46.349461","1","4","1"
"163","2025-02-28 13:11:00","CERRADA","2025-02-28 15:50:45.684408","2025-02-28 13:11:00","112.00",6,"2025-02-28 15:50:45.684408","271","1","1"
"164","2024-08-23 21:15:00","CERRADA","2024-08-24 00:11:21.037945","2024-08-23 21:15:00","374.00",3,"2024-08-24 00:11:21.037945","1","13","1"
"165","2024-04-13 13:23:00","CERRADA","2024-04-13 15:44:23.80914","2024-04-13 13:23:00","134.00",4,"2024-04-13 15:44:23.80914","231","4","1"
"166","2024-06-28 13:52:00","CERRADA","2024-06-28 15:15:57.823666","2024-06-28 13:52:00","240.00",5,"2024-06-28 15:15:57.823666","227","8","1"
"167","2024-12-21 12:18:00","CERRADA","2024-12-21 13:28:03.900903","2024-12-21 12:18:00","187.00",8,"2024-12-21 13:28:03.900903","130","1","1"
"168","2024-08-23 19:56:00","CERRADA","2024-08-23 21:37:57.012563","2024-08-23 19:56:00","260.00",3,"2024-08-23 21:37:57.012563","232","15","1"
"169","2024-07-02 12:20:00","CERRADA","2024-07-02 15:11:41.946514","2024-07-02 12:20:00","263.00",6,"2024-07-02 15:11:41.946514","29","7","1"
"170","2023-08-03 21:53:00","CERRADA","2023-08-03 23:09:39.307381","2023-08-03 21:53:00","270.00",6,"2023-08-03 23:09:39.307381","1","11","1"
"171","2023-08-25 13:35:00","CERRADA","2023-08-25 16:27:49.626835","2023-08-25 13:35:00","272.00",1,"2023-08-25 16:27:49.626835","231","10","1"
